date:2020-07-03 22:03:12	thread:main	USER:	X-Track:	level:DEBUG	logger:o.s.test.annotation.ProfileValueUtils           	message:Retrieved ProfileValueSource type [class org.springframework.test.annotation.SystemProfileValueSource] for class [com.egoveris.shareddocument.base.service.ExampleBSTest]
date:2020-07-03 22:03:12	thread:main	USER:	X-Track:	level:DEBUG	logger:o.s.t.c.s.DependencyInjectionTestExecutionListener	message:Performing dependency injection for test context [[DefaultTestContext@1188e820 testClass = ExampleBSTest, testInstance = com.egoveris.shareddocument.base.service.ExampleBSTest@6e2c9341, testMethod = [null], testException = [null], mergedContextConfiguration = [MergedContextConfiguration@2f490758 testClass = ExampleBSTest, locations = '{classpath:/spring/integration-core-config.xml}', classes = '{}', contextInitializerClasses = '[]', activeProfiles = '{}', propertySourceLocations = '{}', propertySourceProperties = '{}', contextLoader = 'org.springframework.test.context.support.DelegatingSmartContextLoader', parent = [null]]]].
date:2020-07-03 22:03:12	thread:main	USER:	X-Track:	level:DEBUG	logger:o.s.t.c.s.AbstractDelegatingSmartContextLoader  	message:Delegating to GenericXmlContextLoader to load context from [MergedContextConfiguration@2f490758 testClass = ExampleBSTest, locations = '{classpath:/spring/integration-core-config.xml}', classes = '{}', contextInitializerClasses = '[]', activeProfiles = '{}', propertySourceLocations = '{}', propertySourceProperties = '{}', contextLoader = 'org.springframework.test.context.support.DelegatingSmartContextLoader', parent = [null]].
date:2020-07-03 22:03:12	thread:main	USER:	X-Track:	level:DEBUG	logger:o.s.t.c.support.AbstractGenericContextLoader    	message:Loading ApplicationContext for merged context configuration [[MergedContextConfiguration@2f490758 testClass = ExampleBSTest, locations = '{classpath:/spring/integration-core-config.xml}', classes = '{}', contextInitializerClasses = '[]', activeProfiles = '{}', propertySourceLocations = '{}', propertySourceProperties = '{}', contextLoader = 'org.springframework.test.context.support.DelegatingSmartContextLoader', parent = [null]]].
date:2020-07-03 22:03:12	thread:main	USER:	X-Track:	level:DEBUG	logger:org.springframework.core.env.StandardEnvironment	message:Adding [systemProperties] PropertySource with lowest search precedence
date:2020-07-03 22:03:12	thread:main	USER:	X-Track:	level:DEBUG	logger:org.springframework.core.env.StandardEnvironment	message:Adding [systemEnvironment] PropertySource with lowest search precedence
date:2020-07-03 22:03:12	thread:main	USER:	X-Track:	level:DEBUG	logger:org.springframework.core.env.StandardEnvironment	message:Initialized StandardEnvironment with PropertySources [systemProperties,systemEnvironment]
date:2020-07-03 22:03:12	thread:main	USER:	X-Track:	level:INFO 	logger:o.s.beans.factory.xml.XmlBeanDefinitionReader   	message:Loading XML bean definitions from class path resource [spring/integration-core-config.xml]
date:2020-07-03 22:03:12	thread:main	USER:	X-Track:	level:DEBUG	logger:o.s.beans.factory.xml.DefaultDocumentLoader     	message:Using JAXP provider [com.sun.org.apache.xerces.internal.jaxp.DocumentBuilderFactoryImpl]
date:2020-07-03 22:03:12	thread:main	USER:	X-Track:	level:DEBUG	logger:o.s.beans.factory.xml.PluggableSchemaResolver   	message:Loading schema mappings from [META-INF/spring.schemas]
